"employees","salaries_2017","salaries_adjustment","salaries_2018","got_raised"
"Employee 1",41757,4638,46395,TRUE
"Employee 2",49345,6934,56279,TRUE
"Employee 3",45164,5185,50349,TRUE
"Employee 4",43598,-2233,41365,FALSE
"Employee 5",47941,-1397,46544,FALSE
"Employee 6",49961,6670,56631,TRUE
"Employee 7",40636,8109,48745,TRUE
"Employee 8",42075,4536,46611,TRUE
"Employee 9",40594,2233,42827,TRUE
"Employee 10",48058,9566,57624,TRUE
"Employee 11",44988,6319,51307,TRUE
"Employee 12",40777,5048,45825,TRUE
"Employee 13",42897,1853,44750,TRUE
"Employee 14",41250,6833,48083,TRUE
"Employee 15",43997,-1065,42932,FALSE
"Employee 16",40745,6984,47729,TRUE
"Employee 17",40449,-261,40188,FALSE
"Employee 18",47630,9957,57587,TRUE
"Employee 19",47972,125,48097,TRUE
"Employee 20",44282,6858,51140,TRUE
"Employee 21",46440,3850,50290,TRUE
"Employee 22",42608,1580,44188,TRUE
"Employee 23",43665,-2083,41582,FALSE
"Employee 24",44723,8236,52959,TRUE
"Employee 25",46365,2692,49057,TRUE
"Employee 26",42532,201,42733,TRUE
"Employee 27",43389,1659,45048,TRUE
"Employee 28",48553,-4575,43978,FALSE
"Employee 29",45177,8080,53257,TRUE
"Employee 30",46879,-2395,44484,FALSE
"Employee 31",42622,1479,44101,TRUE
"Employee 32",49954,-3061,46893,FALSE
"Employee 33",41503,8961,50464,TRUE
"Employee 34",45771,-2883,42888,FALSE
"Employee 35",45116,4417,49533,TRUE
"Employee 36",41006,-4283,36723,FALSE
"Employee 37",45105,5157,50262,TRUE
"Employee 38",45280,5371,50651,TRUE
"Employee 39",45189,-2594,42595,FALSE
"Employee 40",43240,-4833,38407,FALSE
"Employee 41",41710,-2788,38922,FALSE
"Employee 42",42123,2208,44331,TRUE
"Employee 43",45170,-1574,43596,FALSE
"Employee 44",49187,9854,59041,TRUE
"Employee 45",49630,247,49877,TRUE
"Employee 46",41449,-4133,37316,FALSE
"Employee 47",45294,-572,44722,FALSE
"Employee 48",41190,1220,42410,TRUE
"Employee 49",48787,5543,54330,TRUE
"Employee 50",41515,4885,46400,TRUE
"Employee 51",42351,2891,45242,TRUE
"Employee 52",48979,2027,51006,TRUE
"Employee 53",43278,1311,44589,TRUE
"Employee 54",42076,5268,47344,TRUE
"Employee 55",47245,2499,49744,TRUE
"Employee 56",45472,-1441,44031,FALSE
"Employee 57",40055,-1488,38567,FALSE
"Employee 58",40398,6029,46427,TRUE
"Employee 59",41974,-3101,38873,FALSE
"Employee 60",45813,1372,47185,TRUE
"Employee 61",47885,1974,49859,TRUE
"Employee 62",42050,4964,47014,TRUE
"Employee 63",41399,8374,49773,TRUE
"Employee 64",41759,9640,51399,TRUE
"Employee 65",40454,-844,39610,FALSE
"Employee 66",48633,2259,50892,TRUE
"Employee 67",49935,4360,54295,TRUE
"Employee 68",46466,4806,51272,TRUE
"Employee 69",47856,6167,54023,TRUE
"Employee 70",43893,-13,43880,FALSE
"Employee 71",43726,336,44062,TRUE
"Employee 72",42612,7884,50496,TRUE
"Employee 73",47400,-1147,46253,FALSE
"Employee 74",44362,3905,48267,TRUE
"Employee 75",47951,746,48697,TRUE
"Employee 76",43531,626,44157,TRUE
"Employee 77",42301,2808,45109,TRUE
"Employee 78",44073,-2072,42001,FALSE
"Employee 79",43060,-367,42693,FALSE
"Employee 80",40293,4842,45135,TRUE
"Employee 81",40757,-2081,38676,FALSE
"Employee 82",48761,106,48867,TRUE
"Employee 83",46367,1681,48048,TRUE
"Employee 84",41518,-1957,39561,FALSE
"Employee 85",44041,1549,45590,TRUE
"Employee 86",45801,4353,50154,TRUE
"Employee 87",43132,7583,50715,TRUE
"Employee 88",44758,8710,53468,TRUE
"Employee 89",46776,-4492,42284,FALSE
"Employee 90",46822,-4755,42067,FALSE
"Employee 91",42534,1558,44092,TRUE
"Employee 92",42127,2365,44492,TRUE
"Employee 93",40557,8300,48857,TRUE
"Employee 94",43400,-1019,42381,FALSE
"Employee 95",42780,232,43012,TRUE
"Employee 96",48278,-3846,44432,FALSE
"Employee 97",40878,9939,50817,TRUE
"Employee 98",44541,7667,52208,TRUE
"Employee 99",40845,-1987,38858,FALSE
"Employee 100",44571,8609,53180,TRUE
